股票,市场,名称,行业模型,优质池等级,综合优质分,基础理论分,去短历史封顶分,去短历史封顶等级,是否因历史数据封顶,是否因历史数据受限,是否因排雷状态扣分,是否因规则AI分歧扣分,封顶原因,规则质量评级,规则质量分,AI评级,数据年数,历史可信度,数据质量,数据质量分,风险扣分,质量理由,综合观察
VGNT,US,Versigent PLC Ordinary Shares,通用,优质池,78.0,90.3,90.3,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,3,C 短历史,Medium,60,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CNQ,US,Canadian Natural Resources Limited Common Stock,周期,优质池,78.0,90.2,90.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
WWD,US,"Woodward, Inc. - Common Stock",通用,优质池,78.0,90.2,90.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
RECT,US,Rectitude Holdings Ltd - Ordinary Shares,消费,优质池,78.0,90.2,90.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
JHX,US,James Hardie Industries plc. Ordinary Shares,周期,优质池,78.0,90.1,90.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
YELP,US,Yelp Inc. Common Stock,科技,优质池,78.0,90.1,90.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
FDS,US,FactSet Research Systems Inc. Common Stock,通用,可研究池,74.0,94.1,90.1,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
FHI,US,"Federated Hermes, Inc. Common Stock",通用,可研究池,74.0,94.1,90.1,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
GCT,US,GigaCloud Technology Inc - Class A Ordinary Shares,科技,优质池,78.0,90.1,90.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,93,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率高于行业舒适区；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
AM,US,Antero Midstream Corporation Common Stock,周期,优质池,78.0,90.0,90.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LPG,US,Dorian LPG Ltd. Common Stock,周期,优质池,78.0,90.0,90.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
NYT,US,New York Times Company (The) Common Stock,通用,优质池,78.0,90.0,90.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PCAR,US,PACCAR Inc. - Common Stock,周期,优质池,78.0,90.0,90.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
SHOO,US,"Steven Madden, Ltd. - Common Stock",通用,优质池,78.0,89.9,89.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
MWA,US,MUELLER WATER PRODUCTS Common Stock,通用,优质池,78.0,89.8,89.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
MXC,US,Mexco Energy Corporation Common Stock,周期,优质池,78.0,89.8,89.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PRIM,US,Primoris Services Corporation Common Stock,周期,优质池,78.0,89.8,89.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
AZN,US,AstraZeneca PLC Ordinary Shares,通用,优质池,78.0,89.7,89.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TRMD,US,TORM plc - Class A Common Stock,周期,优质池,78.0,89.7,89.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
WPM,US,Wheaton Precious Metals Corp Common Shares (Canada),通用,优质池,78.0,89.7,89.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CAMT,US,Camtek Ltd. - Ordinary Shares,科技,优质池,78.0,89.6,89.6,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
OKE,US,"ONEOK, Inc. Common Stock",周期,优质池,78.0,89.6,89.6,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
BMI,US,"Badger Meter, Inc. Common Stock",通用,可研究池,74.0,93.6,89.6,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PRDO,US,Perdoceo Education Corporation - Common Stock,通用,可研究池,74.0,93.6,89.6,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
OLLI,US,"Ollie's Bargain Outlet Holdings, Inc. - Common Stock",通用,优质池,78.0,89.5,89.5,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ECG,US,"Everus Construction Group, Inc. Common Stock",周期,优质池,78.0,89.5,89.5,核心优质池,是,是,否,否,短历史封顶生效,优质候选,89,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
DHT,US,"DHT Holdings, Inc.",周期,优质池,78.0,89.3,89.3,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
KYIV,US,Kyivstar Group Ltd. - Common Shares,通用,优质池,78.0,89.3,89.3,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,3,C 短历史,Medium,60,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
AIT,US,"Applied Industrial Technologies, Inc. Common Stock",通用,可研究池,74.0,93.3,89.3,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
A,US,"Agilent Technologies, Inc. Common Stock",通用,可研究池,74.0,93.2,89.2,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长处于可接受区间,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
UFPT,US,"UFP Technologies, Inc. - Common Stock",通用,可研究池,74.0,93.2,89.2,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
WDFC,US,WD-40 Company - Common Stock,周期,可研究池,74.0,93.2,89.2,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PGNY,US,"Progyny, Inc. - Common Stock",通用,优质池,78.0,89.2,89.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
URBN,US,"Urban Outfitters, Inc. - Common Stock",消费,优质池,78.0,89.2,89.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
MANH,US,"Manhattan Associates, Inc. - Common Stock",科技,优质池,78.0,89.2,89.2,核心优质池,是,是,否,否,短历史封顶生效,优质候选,93,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率高于行业舒适区；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
SII,US,Sprott Inc. Common Shares,通用,优质池,78.0,89.1,89.1,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
WTS,US,"Watts Water Technologies, Inc. Class A Common Stock",通用,可研究池,74.0,93.1,89.1,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TXT,US,Textron Inc. Common Stock,通用,优质池,78.0,89.0,89.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
LMAT,US,"LeMaitre Vascular, Inc. - Common Stock",通用,优质池,78.0,89.0,89.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CR,US,Crane Company Common Stock,通用,优质池,78.0,89.0,89.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,89,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
INVX,US,"Innovex International, Inc. Common Stock",周期,优质池,78.0,89.0,89.0,核心优质池,是,是,否,否,短历史封顶生效,优质候选,89,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
CTW,US,CTW - Class A Ordinary Shares,科技,优质池,78.0,88.9,88.9,核心优质池,是,是,否,否,短历史封顶生效,优质候选,100,优质候选,3,C 短历史,Medium,60,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
FSS,US,Federal Signal Corporation Common Stock,通用,可研究池,74.0,92.9,88.9,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
VCTR,US,"Victory Capital Holdings, Inc. - Common Stock",通用,可研究池,74.0,92.9,88.9,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TT,US,Trane Technologies plc,通用,可研究池,74.0,92.8,88.8,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
AEM,US,Agnico Eagle Mines Limited Common Stock,通用,优质池,78.0,88.8,88.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
ODFL,US,"Old Dominion Freight Line, Inc. - Common Stock",通用,优质池,78.0,88.8,88.8,核心优质池,是,是,否,否,短历史封顶生效,优质候选,93,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
INTU,US,Intuit Inc. - Common Stock,科技,可研究池,74.0,92.7,88.7,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
PSMT,US,"PriceSmart, Inc. - Common Stock",通用,优质池,78.0,88.7,88.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
SITE,US,"SiteOne Landscape Supply, Inc. Common Stock",通用,优质池,78.0,88.7,88.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,95,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
TER,US,"Teradyne, Inc. - Common Stock",科技,优质池,78.0,88.7,88.7,核心优质池,是,是,否,否,短历史封顶生效,优质候选,93,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长偏弱,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
BRC,US,Brady Corporation Common Stock,通用,可研究池,74.0,92.6,88.6,核心优质池,是,是,是,否,短历史封顶生效；排雷状态扣分,优质候选,100,优质候选,4,C 短历史,Medium,80,短历史封顶；排雷需关注,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流整体为正；资产负债率符合行业语境；营收增长达到行业较好水平,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
VEEV,US,Veeva Systems Inc. Class A Common Stock,通用,优质池,78.0,88.6,88.6,核心优质池,是,是,否,否,短历史封顶生效,优质候选,98,优质候选,4,C 短历史,Medium,80,短历史封顶,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,规则质量评级与AI评级一致；但数据年数少于5年，长期ROE、波动和CAGR应按短历史估计降置信度
