股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
000055,CN,方大集团,-,通用,ROE、现金流、资产负债率,-,-,15.5%,20.8%,-,55.4%,-,-,未分红/不适用,-1.3%,10,10,100,High,未知,警惕,70,排除,24,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,ROE 15.5%尚可，但波动较大（20.8%），近5年有1次亏损和1次经营现金流为负，营收负增长，且未分红，财务稳定性存疑。,营收持续下滑，盈利波动大，现金流不稳定，无分红记录，可能面临行业或经营困境。,关注营收能否止跌回升，盈利稳定性改善，以及现金流和分红政策变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000058,CN,深 赛 格,-,通用,ROE、现金流、资产负债率,-,-,12.4%,24.4%,-,50.8%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,警惕,70,可跟踪,73,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,10年ROE均值12.4%尚可，但波动高达24.4%，稳定性差；近5年营收CAGR为-4.1%，呈下滑趋势；无分红记录，股东回报不足。资产负债率50.8%适中，但缺乏利息覆盖倍数和商誉数据，现金流数据缺失。,营收持续下滑，成长性堪忧；ROE波动大，盈利不稳定；无分红，可能影响长期持有价值；关键财务指标如FCF、利息覆盖倍数缺失，增加评估不确定性。,关注营收能否止跌回升；ROE波动是否改善；未来是否开始分红；补充FCF和利息覆盖数据以评估现金流和偿债能力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000059,CN,华锦股份,-,通用,ROE、现金流、资产负债率,-,-,7.4%,19.5%,-,58.3%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,警惕,70,排除,20,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年ROE波动较大；10年净利润波动较大,谨慎观察,Medium,ROE仅7.4%且波动大（19.5%），近5年亏损2次，净利润波动系数4.84，盈利稳定性差。营收增长缓慢（CAGR 2%），未分红，现金流数据缺失。资产负债率58.3%尚可，但整体财务质量一般。,盈利波动大，近5年亏损2次，净利润波动系数高，显示周期性或经营风险。营收增长停滞，未分红可能反映现金流紧张或再投资回报低。,关注未来盈利稳定性、现金流改善情况、营收增长动力及分红政策变化。需更多数据验证其长期价值。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000060,CN,中金岭南,-,通用,ROE、现金流、资产负债率,-,-,7.8%,2.4%,-,58.6%,-,-,未分红/不适用,8.0%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,公司10年ROE均值7.8%，波动较小，净利润和经营现金流近5年均为正，显示一定稳定性。但ROE偏低，资产负债率58.6%偏高，且未分红，成长性一般（营收CAGR 8%），整体质量中等。,资产负债率较高（58.6%），财务杠杆风险；未分红，股东回报不足；ROE仅7.8%，盈利能力偏弱；缺乏自由现金流数据，现金流质量待验证。,关注未来ROE提升趋势、负债率变化、自由现金流表现及分红政策；需验证行业周期影响及增长可持续性。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000061,CN,农 产 品,-,通用,ROE、现金流、资产负债率,-,-,16.1%,26.7%,-,53.8%,-,-,未分红/不适用,12.4%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,可跟踪,Medium,10年ROE均值16.1%尚可，但波动较大（26.7%），净利润波动系数0.62显示稳定性一般。近5年无亏损且经营现金流持续为正，但自由现金流数据缺失。营收增长12.4%良好，但资产负债率53.8%偏高，且无分红记录。整体财务质量中等，无明显硬伤但亮点不足。,资产负债率53.8%偏高，可能增加财务风险；ROE波动大，盈利稳定性存疑；无分红记录，股东回报不明确；自由现金流数据缺失，现金流质量待验证。,关注未来自由现金流趋势；跟踪资产负债率变化及利息覆盖倍数；观察ROE能否稳定在15%以上；关注分红政策是否改善。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000062,CN,深圳华强,-,通用,ROE、现金流、资产负债率,-,-,10.7%,4.1%,-,58.4%,-,-,未分红/不适用,2.2%,10,10,100,High,未知,通过,100,谨慎观察,46,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,谨慎观察,Medium,ROE 10.7%尚可，波动4.1%较低，净利润波动0.39较小，无亏损。但近5年经营现金流为负3次，现金流质量差；资产负债率58.4%偏高；营收增长仅2.2%，成长性弱；未分红。,经营现金流多次为负，可能掩盖盈利质量或营运资金管理问题；高负债率增加财务风险；低增长且不分红，缺乏股东回报。,关注经营现金流能否转正；负债率变化趋势；营收增长能否提速；未来分红政策。,deepseek-chat,否,规则质量评级与AI评级一致
000063,CN,中兴通讯,-,通用,ROE、现金流、资产负债率,-,-,7.5%,14.1%,-,65.3%,-,-,未分红/不适用,4.0%,10,10,100,High,未知,警惕,70,可跟踪,67,数据质量高；长期ROE达到行业基本线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,可跟踪,Medium,10年ROE均值7.5%偏低，但波动14.1%尚可；近5年无亏损且经营现金流持续为正，显示一定稳定性；营收CAGR 4.0%增长缓慢；资产负债率65.3%偏高，但未提供利息覆盖倍数和商誉数据，无法全面评估偿债风险；未分红可能影响价值投资者偏好。整体财务质量一般，无明显硬伤但亮点不足。,资产负债率65.3%偏高，若利息覆盖倍数低则偿债压力大；营收增长缓慢（4%），可能缺乏成长性；未分红可能反映现金流或公司治理问题；ROE偏低，资本回报效率不高。,关注未来ROE趋势及改善措施；跟踪营收增长能否提速；获取利息覆盖倍数和商誉数据以评估财务风险；观察分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致
000065,CN,北方国际,-,通用,ROE、现金流、资产负债率,-,-,12.6%,3.1%,-,55.0%,-,-,未分红/不适用,1.0%,10,10,100,High,未知,通过,100,优质候选,97,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,可跟踪,Medium,10年ROE均值12.6%，波动较小，净利润和经营现金流连续5年为正，财务基础稳健。但营收增长缓慢（5年CAGR仅1%），且未分红，成长性和股东回报不足。资产负债率55%适中，但缺乏自由现金流和利息覆盖数据，整体质量中等。,营收增长停滞，可能面临行业天花板或竞争压力；未分红可能影响长期投资者信心；缺乏自由现金流数据，现金流质量需进一步验证。,关注营收增长驱动因素及未来改善迹象；获取自由现金流和利息覆盖倍数数据；观察分红政策变化；跟踪行业景气度及公司市场份额变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000066,CN,中国长城,-,通用,ROE、现金流、资产负债率,-,-,8.2%,35.4%,-,61.9%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,排除,High,近5年3次亏损，OCF 3次为负，营收负增长，ROE低且波动大，未分红，财务质量明显较弱。,持续亏损风险，现金流不稳定，营收下滑，高负债率61.9%可能加剧财务压力。,关注扭亏为盈信号、营收增长拐点、现金流改善及负债管理。,deepseek-chat,否,规则质量评级与AI评级一致
000068,CN,华控赛格,-,通用,ROE、现金流、资产负债率,-,-,-6.2%,77.1%,-,73.6%,-,-,未分红/不适用,-2.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,排除,High,10年ROE为-6.2%，且波动极大（77.1%），近5年亏损3次，净利润波动异常高（3156.79），营收负增长（-2.9%），资产负债率73.6%偏高，无分红记录。整体财务质量极差，风险显著。,持续亏损风险：近5年3次亏损，净利润波动极大；高负债风险：资产负债率73.6%，利息覆盖倍数缺失，偿债能力存疑；增长停滞：营收负增长，缺乏成长性；无分红回报。,关注未来能否扭亏为盈，营收是否恢复正增长，负债率是否下降，以及现金流是否改善。需连续多个季度数据验证。,deepseek-chat,否,规则质量评级与AI评级一致
000069,CN,华侨城Ａ,-,通用,ROE、现金流、资产负债率,-,-,2.0%,19.4%,-,80.6%,-,-,未分红/不适用,-25.6%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑,排除,High,10年ROE仅2.0%，波动高达19.4%，近5年亏损4次，净利润波动剧烈（7.29），营收5年CAGR为-25.6%，资产负债率80.6%过高，且无分红记录。整体财务质量极弱，风险显著。,高负债率（80.6%）带来偿债风险；持续亏损（近5年4次亏损）表明盈利能力严重不足；营收大幅下滑（-25.6% CAGR）显示业务萎缩；无分红记录，股东回报缺失。,关注未来能否扭亏为盈、负债率是否下降、营收增长能否转正。若连续2年盈利且负债率降至70%以下，可重新评估。,deepseek-chat,否,规则质量评级与AI评级一致
000070,CN,特发信息,-,通用,ROE、现金流、资产负债率,-,-,5.6%,32.7%,-,78.6%,-,-,未分红/不适用,-1.0%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高,排除,High,近5年亏损4次，净利润波动极大（4.98），ROE仅5.6%且波动高（32.7%），营收负增长（-1.0%），资产负债率78.6%偏高，未分红，财务质量明显较弱。,持续亏损风险、高负债率导致偿债压力、营收下滑趋势、现金流可能不稳定、缺乏分红回报。,关注扭亏为盈的持续性、负债率变化、自由现金流转正情况、营收增长拐点。,deepseek-chat,否,规则质量评级与AI评级一致
000088,CN,盐 田 港,-,通用,ROE、现金流、资产负债率,-,-,6.6%,1.7%,-,17.8%,-,-,未分红/不适用,6.0%,10,10,100,High,未知,通过,100,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值6.6%且波动小，净利润稳定无亏损，OCF持续为正，资产负债率仅17.8%，财务风险低。但ROE偏低，营收增长缓慢（5年CAGR 6%），且无分红记录，成长性和股东回报不突出。,ROE偏低，资本回报效率不高；营收增速缓慢，缺乏增长动力；无分红记录，可能影响长期投资者信心。,关注未来ROE能否提升；营收增长是否加速；公司是否有分红或回购计划；现金流使用效率。,deepseek-chat,否,规则质量评级与AI评级一致
000089,CN,深圳机场,-,通用,ROE、现金流、资产负债率,-,-,1.9%,13.4%,-,52.9%,-,-,未分红/不适用,11.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE仅1.9%，波动大（13.4%），近5年亏损2次，盈利稳定性差。资产负债率52.9%尚可，但无分红记录。营收增长11.6%尚可，但自由现金流缺失，需进一步验证现金流质量。,盈利能力极弱且波动大，近5年多次亏损；无分红记录，股东回报不足；自由现金流数据缺失，现金流状况不明。,关注未来ROE能否改善、亏损原因是否消除；获取自由现金流数据，评估现金流与利润匹配度；观察分红政策变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000090,CN,天健集团,-,通用,ROE、现金流、资产负债率,-,-,10.9%,5.4%,-,74.3%,-,-,未分红/不适用,-0.8%,10,10,100,High,未知,警惕,85,排除,37,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,资产负债率偏高,谨慎观察,Medium,ROE 10.9%尚可，但波动较大（5.4%），净利润波动0.58，且近5年营收负增长（CAGR -0.8%）。资产负债率74.3%偏高，财务杠杆风险较大。未分红，现金流曾为负，整体增长和稳定性不足。,高资产负债率（74.3%）增加偿债风险；营收持续下滑，成长性堪忧；净利润波动较大，盈利稳定性差；未分红可能反映现金流紧张或股东回报意愿弱。,关注未来营收能否止跌回升；资产负债率变化及现金流改善情况；管理层是否有转型或降杠杆计划；行业政策及竞争格局变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000096,CN,广聚能源,-,通用,ROE、现金流、资产负债率,-,-,4.9%,3.3%,-,25.4%,-,-,未分红/不适用,-4.2%,10,10,100,High,未知,排除,60,排除,20,规则排雷已判定存在硬伤,长期ROE低于5%,谨慎观察,Medium,公司10年ROE仅4.9%，盈利能力较弱；营收持续下滑（5年CAGR -4.2%）；近5年有2年经营现金流为负，现金流不稳定。但资产负债率低（25.4%），无商誉，财务结构稳健。,营收负增长趋势未改善；经营现金流波动大，可能影响持续经营能力；ROE低且波动，股东回报有限。,关注营收能否止跌回升；经营现金流能否持续为正；是否有新业务或资产重组提升盈利能力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000099,CN,中信海直,-,通用,ROE、现金流、资产负债率,-,-,5.1%,1.3%,-,27.7%,-,-,未分红/不适用,7.4%,10,10,100,High,未知,通过,100,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,公司连续10年无亏损，经营现金流持续为正，资产负债率低（27.7%），财务稳健。但ROE仅5.1%，增长缓慢（营收CAGR 7.4%），且未分红，盈利质量一般。,低ROE表明资本回报效率不高；未分红可能影响股东回报；行业竞争或政策变化可能影响增长持续性。,关注未来ROE能否提升；营收增长是否加速；分红政策变化；现金流与利润匹配度。,deepseek-chat,否,规则质量评级与AI评级一致
000100,CN,TCL科技,-,科技,营收增长、自由现金流、研发投入效率,-,-,14.7%,14.7%,-,64.2%,-,-,未分红/不适用,3.0%,10,10,100,High,未知,警惕,70,谨慎观察,57,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,可跟踪,Medium,10年ROE平均14.7%，波动较大，但近5年无亏损且经营现金流持续为正，显示一定盈利能力。营收增长缓慢（CAGR 3%），资产负债率64.2%偏高，未分红。整体质量中等，无明显硬伤但增长不突出。,资产负债率64.2%偏高，财务杠杆风险；营收增长缓慢，可能缺乏成长性；未分红，股东回报不足；ROE波动大，盈利稳定性待观察。,关注未来营收增长能否提速；资产负债率变化趋势；自由现金流是否转正；管理层是否改善分红政策。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000151,CN,中成股份,-,通用,ROE、现金流、资产负债率,-,-,8.0%,52.4%,-,73.8%,-,-,未分红/不适用,-15.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收增长偏弱,排除,High,近5年3次亏损，OCF 3次为负，营收5年CAGR -15%，ROE仅8%且波动极大（52.4%），资产负债率73.8%偏高，无分红记录。财务质量弱，增长持续下滑，现金流差。,持续亏损风险，现金流紧张，高负债率可能加剧财务压力，营收萎缩趋势未改善，无分红回报。,关注营收能否止跌、扭亏为盈、现金流转正、负债率下降。需更多季报验证改善迹象。,deepseek-chat,否,规则质量评级与AI评级一致
000153,CN,丰原药业,-,通用,ROE、现金流、资产负债率,-,-,6.6%,1.7%,-,58.0%,-,-,未分红/不适用,1.4%,10,10,100,High,未知,通过,100,可跟踪,65,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,谨慎观察,Medium,公司10年ROE仅6.6%，盈利能力偏低；营收5年CAGR仅1.4%，增长缓慢；资产负债率58%，财务杠杆较高；未分红，股东回报不足。但净利润和OCF近5年均为正，经营稳定性尚可。,低ROE和低增长表明公司可能处于成熟或衰退行业，缺乏成长动力；高负债率增加财务风险；不分红可能反映现金流紧张或治理问题。,关注未来ROE能否提升、营收增长是否加速、负债率变化及分红政策；需进一步分析行业前景和公司竞争力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000156,CN,华数传媒,-,通用,ROE、现金流、资产负债率,-,-,5.6%,1.4%,-,47.5%,-,-,未分红/不适用,2.0%,10,10,100,High,未知,通过,100,可跟踪,65,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,可跟踪,Medium,10年ROE平均5.6%且波动小，净利润和经营现金流稳定无亏损，资产负债率适中。但营收增长缓慢（CAGR 2.0%），且未分红，成长性和股东回报不足。,营收增长乏力，可能面临行业天花板或竞争压力；未分红可能影响投资者信心；商誉和利息覆盖倍数数据缺失，需关注潜在财务风险。,关注营收增长能否提速；检查商誉规模和利息覆盖能力；观察未来分红政策变化；评估行业竞争格局和公司战略。,deepseek-chat,否,规则质量评级与AI评级一致
000157,CN,中联重科,-,通用,ROE、现金流、资产负债率,-,-,7.1%,5.2%,-,55.0%,-,-,未分红/不适用,-6.1%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,谨慎观察,Medium,10年ROE均值7.1%偏低，且波动较大（5.2%）；近5年营收CAGR为-6.1%，显示增长乏力；资产负债率55%尚可，但未提供利息覆盖倍数和商誉数据，无法全面评估偿债风险。无分红记录，股东回报不足。,营收持续下滑，成长性堪忧；ROE波动大，盈利稳定性差；无分红，缺乏现金流回报；关键财务指标缺失（商誉、利息覆盖），隐藏潜在风险。,关注营收能否止跌回升；ROE是否改善；获取完整财务数据（商誉、利息覆盖、FCF）；观察行业周期及公司竞争力变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000158,CN,常山北明,-,通用,ROE、现金流、资产负债率,-,-,6.8%,20.0%,-,63.6%,-,-,未分红/不适用,-8.8%,10,10,100,High,未知,排除,15,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,排除,High,近5年3次亏损，净利润波动极大（8.32），营收持续下滑（5年CAGR -8.8%），ROE仅6.8%且波动大，未分红，现金流不稳定，财务质量明显较弱。,持续亏损风险、营收下滑趋势、高负债率（63.6%）、现金流不稳定、无分红记录，缺乏成长性和稳定性。,需关注营收能否止跌、扭亏为盈的持续性、负债率变化及现金流改善情况。,deepseek-chat,否,规则质量评级与AI评级一致
000159,CN,国际实业,-,通用,ROE、现金流、资产负债率,-,-,2.8%,3.9%,-,43.7%,-,-,未分红/不适用,15.4%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,谨慎观察,Medium,10年ROE仅2.8%，波动3.9%，盈利质量弱；近5年3次经营现金流为负，自由现金流为负，造血能力差；净利润波动高达12倍，稳定性差；虽营收增长15.4%，但未转化为利润和现金流。,盈利持续性风险：ROE低且波动，净利润大幅波动；现金流风险：经营现金流多次为负，自由现金流为负，可能依赖融资；分红缺失，股东回报不足。,关注未来能否改善经营现金流和自由现金流；观察净利润波动是否收敛；跟踪营收增长能否带动盈利提升；注意资产负债率43.7%的偿债压力。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000166,CN,申万宏源,-,通用,ROE、现金流、资产负债率,-,-,7.4%,2.5%,-,76.6%,-,-,未分红/不适用,-8.3%,10,20,100,High,未知,警惕,70,排除,37,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,资产负债率偏高；近5年营收增长偏弱,谨慎观察,Medium,ROE仅7.4%且波动较大，营收负增长，资产负债率高达76.6%，自由现金流数据缺失，分红不适用。但净利润波动较小且无亏损，需进一步验证现金流和负债结构。,高负债率（76.6%）增加财务风险；营收持续下滑（5年CAGR -8.3%）表明业务萎缩；自由现金流为负或缺失，盈利质量存疑。,关注未来自由现金流趋势、负债结构变化及营收能否企稳；需补充利息覆盖倍数和商誉数据以评估偿债风险。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000301,CN,东方盛虹,-,通用,ROE、现金流、资产负债率,-,-,10.4%,13.0%,-,81.4%,-,-,未分红/不适用,24.3%,10,10,100,High,未知,警惕,55,排除,30,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,谨慎观察,Medium,公司营收增长强劲（5年CAGR 24.3%），但ROE波动大（13%），近5年有1次亏损，资产负债率高达81.4%，财务杠杆风险显著。未分红且自由现金流数据缺失，现金流状况不明。,高资产负债率（81.4%）带来偿债压力；ROE波动大，盈利稳定性差；近5年出现亏损，经营风险存在；未分红，股东回报不足。,关注未来自由现金流能否转正；资产负债率变化趋势；盈利稳定性改善情况；行业周期对公司营收增长可持续性的影响。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000333,CN,美的集团,-,通用,ROE、现金流、资产负债率,-,-,23.9%,2.4%,-,61.2%,-,-,未分红/不适用,7.5%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值23.9%且波动仅2.4%，净利润波动0.33，近5年无亏损且经营现金流持续为正，显示极强盈利稳定性和现金流质量。营收5年CAGR 7.5%增长稳健。资产负债率61.2%在合理范围。整体财务质量优秀，值得优先研究。,资产负债率61.2%略高，需关注债务结构；未分红可能影响部分投资者偏好；行业竞争加剧可能影响增长持续性。,关注资产负债率变化及债务到期结构；跟踪营收增长趋势及市场份额变化；观察未来分红政策是否改善。,deepseek-chat,否,规则质量评级与AI评级一致
000338,CN,潍柴动力,-,通用,ROE、现金流、资产负债率,-,-,15.2%,5.7%,-,64.3%,-,-,未分红/不适用,1.3%,10,10,100,High,未知,通过,100,可跟踪,77,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,可跟踪,Medium,10年ROE均值15.2%尚可，但波动较大（5.7%），净利润波动系数0.34，稳定性一般。近5年无亏损，但OCF有一次为负，现金流有瑕疵。营收增长缓慢（5年CAGR仅1.3%），成长性不足。资产负债率64.3%偏高，财务杠杆风险需关注。,资产负债率64.3%偏高，财务杠杆风险；营收增长停滞，成长性不足；ROE波动较大，盈利稳定性一般；现金流有一次为负，需关注经营现金流质量。,关注营收增长能否改善；资产负债率变化趋势；经营现金流稳定性；ROE能否维持或提升；行业周期影响。,deepseek-chat,否,规则质量评级与AI评级一致
000400,CN,许继电气,-,通用,ROE、现金流、资产负债率,-,-,8.4%,2.8%,-,49.0%,-,-,未分红/不适用,5.7%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值8.4%，波动较小，净利润和OCF近5年均为正，财务稳定性较好。但营收增长缓慢（5年CAGR 5.7%），且未分红，成长性和股东回报不突出。资产负债率49%适中，但缺乏FCF和利息覆盖数据，需进一步评估现金流质量。,营收增长偏低，可能面临行业天花板或竞争压力；未分红可能影响长期投资者信心；缺乏自由现金流数据，无法判断盈利现金含量；商誉和利息覆盖数据缺失，需关注潜在债务风险。,关注未来营收增长驱动因素（如新业务或订单）；获取自由现金流和利息覆盖倍数数据；观察分红政策变化；跟踪ROE能否持续改善至10%以上。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000401,CN,金隅冀东,-,通用,ROE、现金流、资产负债率,-,-,19.0%,26.4%,-,48.4%,-,-,未分红/不适用,-9.4%,10,10,100,High,未知,警惕,55,排除,44,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,谨慎观察,Medium,10年ROE均值19%看似不错，但波动极大（26.4%），近5年有2年亏损，营收持续下滑（CAGR -9.4%），且未分红。高ROE可能来自周期或非经常性收益，稳定性差。,盈利波动大，周期性明显；营收负增长，成长性堪忧；无分红记录，股东回报不足；资产负债率48.4%尚可，但利息覆盖倍数缺失，需关注偿债能力。,需验证ROE高是否可持续；关注营收能否止跌回升；检查现金流是否健康；了解行业周期位置及公司竞争优势。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
000402,CN,金 融 街,-,通用,ROE、现金流、资产负债率,-,-,-1.0%,16.5%,-,81.5%,-,-,未分红/不适用,-24.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；近5年营收明显下滑,排除,High,10年ROE为负（-1.0%），近5年亏损3次，营收持续大幅下滑（CAGR -24.1%），资产负债率高达81.5%，财务质量明显较弱，风险较高。,持续亏损、高负债率、营收萎缩，可能面临偿债压力和经营困境，缺乏盈利能力支撑。,关注公司能否扭亏为盈、降低负债、改善现金流，以及行业复苏迹象。,deepseek-chat,否,规则质量评级与AI评级一致
