综合优质分,优质池等级,入选来源,优质排序理由,风险扣分,股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
91.7,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量98；ROE20.3%；ROE波动5.0%；数据质量Medium；AI优质候选；PE658.43；PB20.31,-,301626,CN,苏州天脉,-,通用,ROE、现金流、资产负债率,658.43,20.31,20.3%,5.0%,-,16.9%,-,-,未分红/不适用,12.1%,7,7,87,Medium,未知,通过,85,优质候选,98,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,数据质量为Medium，筛选结果置信度中等,优质候选,Medium,7年数据，ROE均值20.3%且波动仅5%，净利润波动0.53，无亏损和负经营现金流，资产负债率16.9%极低，营收CAGR 12.1%稳健增长。财务质量高，稳定性强，增长可持续。,未分红可能影响部分投资者；自由现金流数据缺失需关注；行业竞争或技术迭代风险未体现。,关注自由现金流趋势、分红政策变化、行业竞争格局及营收增长可持续性。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.6,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE21.1%；ROE波动10.7%；数据质量High；AI优质候选；PE23.83；PB3.20,-,603659,CN,璞泰来,-,通用,ROE、现金流、资产负债率,23.83,3.20,21.1%,10.7%,-,52.9%,-,-,未分红/不适用,15.0%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE平均21.1%，盈利能力强且稳定；近5年无亏损、经营现金流持续为正，财务健康；营收5年CAGR 15%，增长稳健。资产负债率52.9%适中，数据质量高。,未分红可能影响部分投资者偏好；行业竞争加剧或技术迭代风险；ROE波动10.7%需关注盈利稳定性。,关注自由现金流趋势；跟踪行业景气度及公司市场份额变化；观察分红政策是否改善。,deepseek-chat,否,规则质量评级与AI评级一致
91.5,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE17.6%；ROE波动10.4%；数据质量High；AI优质候选；PE69.37；PB3.67,-,300852,CN,四会富仕,-,通用,ROE、现金流、资产负债率,69.37,3.67,17.6%,10.4%,-,25.5%,-,-,未分红/不适用,16.5%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值17.6%，且无亏损和负经营现金流，资产负债率仅25.5%，财务稳健。5年营收CAGR 16.5%，增长持续。数据质量高，适合优先研究。,ROE波动10.4%略高，需关注盈利稳定性；未分红可能影响部分投资者偏好；行业属性未知，需进一步了解竞争格局。,关注ROE波动原因、自由现金流趋势、行业前景及管理层战略。,deepseek-chat,否,规则质量评级与AI评级一致
91.5,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE13.5%；ROE波动2.0%；数据质量High；AI优质候选；PE13.46；PB2.26,-,603939,CN,益丰药房,-,通用,ROE、现金流、资产负债率,13.46,2.26,13.5%,2.0%,-,54.9%,-,-,未分红/不适用,12.4%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值13.5%且波动仅2%，净利润波动0.59，近5年无亏损且经营现金流持续为正，营收5年CAGR达12.4%，显示稳定增长和良好盈利能力。资产负债率54.9%处于合理水平。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在负债风险；行业竞争加剧可能影响增长持续性。,关注商誉占比及减值风险；跟踪利息覆盖倍数以评估偿债能力；观察分红政策变化；持续监控营收增长趋势和利润率。,deepseek-chat,否,规则质量评级与AI评级一致
91.5,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量97；ROE12.7%；ROE波动2.0%；数据质量High；AI优质候选；PE19.25；PB2.07,-,002444,CN,巨星科技,-,科技,营收增长、自由现金流、研发投入效率,19.25,2.07,12.7%,2.0%,-,19.0%,-,-,未分红/不适用,7.7%,10,10,100,High,未知,通过,100,优质候选,97,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,优质候选,High,10年ROE均值12.7%且波动仅2%，净利润波动0.51，近5年无亏损且经营现金流持续为正，资产负债率仅19%，财务质量稳健。营收5年CAGR 7.7%显示稳定增长。,未分红可能影响收益预期；商誉占比和利息覆盖倍数数据缺失，需关注潜在负债或减值风险；行业竞争及宏观经济波动可能影响增长持续性。,关注未来分红政策变化；补充商誉占比和利息覆盖倍数数据；跟踪营收增长趋势及现金流质量。,deepseek-chat,否,规则质量评级与AI评级一致
91.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE14.5%；ROE波动4.3%；数据质量High；AI优质候选；PE67.02；PB7.89,-,002518,CN,科士达,-,通用,ROE、现金流、资产负债率,67.02,7.89,14.5%,4.3%,-,37.5%,-,-,未分红/不适用,17.1%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值14.5%，波动仅4.3%，盈利稳定；净利润波动系数0.45，近5年无亏损且经营现金流持续为正；资产负债率37.5%较低，财务风险小；5年营收CAGR 17.1%，增长良好。整体财务质量、稳定性和增长均较优。,未分红可能影响长期股东回报；商誉和利息覆盖倍数数据缺失，需关注潜在负债或并购风险；行业竞争及技术迭代可能影响未来增长。,关注分红政策变化；补充商誉及利息覆盖数据；跟踪营收增长可持续性及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
91.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE12.3%；ROE波动4.0%；数据质量High；AI优质候选；PE75.34；PB5.95,-,300285,CN,国瓷材料,-,周期,利润波动、ROE波动、资本开支周期,75.34,5.95,12.3%,4.0%,-,18.9%,-,-,未分红/不适用,9.7%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值12.3%且波动仅4%，净利润波动0.37，近5年无亏损且经营现金流持续为正，资产负债率仅18.9%，财务稳健。营收5年CAGR 9.7%，增长稳定。整体财务质量优秀，值得优先研究。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在并购风险或偿债能力。,关注未来分红政策变化；补充商誉占比和利息覆盖倍数数据；跟踪营收增长可持续性及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
91.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE13.0%；ROE波动4.0%；数据质量High；AI优质候选；PE54.67；PB5.08,-,601689,CN,拓普集团,-,通用,ROE、现金流、资产负债率,54.67,5.08,13.0%,4.0%,-,45.1%,-,-,未分红/不适用,26.7%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值13%且波动仅4%，净利润波动系数0.69，近5年无亏损且经营现金流持续为正，显示盈利稳定性和现金流健康。营收5年CAGR达26.7%，增长强劲。资产负债率45.1%适中，财务结构稳健。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在负债风险；行业竞争加剧可能影响增长持续性。,关注未来分红政策变化；补充商誉和利息覆盖数据；跟踪营收增长可持续性及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
91.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE12.2%；ROE波动5.6%；数据质量High；AI优质候选；PE38.61；PB1.88,-,603556,CN,海兴电力,-,通用,ROE、现金流、资产负债率,38.61,1.88,12.2%,5.6%,-,25.5%,-,-,未分红/不适用,15.4%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值12.2%，波动5.6%较低，净利润波动0.39较小，近5年无亏损且经营现金流持续为正，资产负债率仅25.5%，财务稳健。营收5年CAGR达15.4%，增长良好。数据质量高，整体质量、稳定性和增长均较优。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在隐性负债或并购风险；行业属性未明确，需验证可持续性。,关注分红政策变化；补充商誉和利息覆盖数据；分析行业竞争格局及增长驱动因素；验证现金流与利润匹配度。,deepseek-chat,否,规则质量评级与AI评级一致
91.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量97；ROE20.9%；ROE波动9.6%；数据质量High；AI优质候选；PE46.85；PB2.72,-,603277,CN,银都股份,-,通用,ROE、现金流、资产负债率,46.85,2.72,20.9%,9.6%,-,32.9%,-,-,未分红/不适用,2.6%,10,10,100,High,未知,通过,100,优质候选,97,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,优质候选,High,10年ROE平均20.9%，波动仅9.6%，盈利能力强且稳定；净利润波动低（0.34），近5年无亏损和负经营现金流；资产负债率32.9%较低，财务风险小。营收增长虽慢但稳健，整体质量突出。,营收增速较低（5年CAGR 2.6%），可能面临行业天花板或竞争加剧；未分红可能影响部分投资者偏好；商誉和利息覆盖倍数数据缺失，需关注潜在隐性负债。,关注营收增长能否提速；检查商誉及利息覆盖情况；了解不分红原因及未来分红政策；跟踪行业竞争格局变化。,deepseek-chat,否,规则质量评级与AI评级一致
91.4,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量95；ROE21.4%；ROE波动4.7%；数据质量High；AI优质候选；PE35.71；PB5.92,-,002475,CN,立讯精密,-,通用,ROE、现金流、资产负债率,35.71,5.92,21.4%,4.7%,-,66.1%,-,-,未分红/不适用,21.2%,10,10,100,High,未知,通过,100,优质候选,95,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值21.4%且波动仅4.7%，净利润波动0.69，近5年无亏损且经营现金流持续为正，显示高盈利能力和稳定性。营收5年CAGR达21.2%，增长强劲。资产负债率66.1%偏高但未构成明显风险。,资产负债率66.1%偏高，需关注偿债能力；未分红可能影响部分投资者偏好；行业竞争激烈，需持续跟踪技术迭代和客户集中度风险。,关注资产负债率变化趋势、现金流对债务覆盖能力、研发投入及新客户拓展情况，以验证增长可持续性。,deepseek-chat,否,规则质量评级与AI评级一致
91.3,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE25.5%；ROE波动11.7%；数据质量High；AI优质候选；PE38.92；PB2.47,-,688639,CN,华恒生物,-,通用,ROE、现金流、资产负债率,38.92,2.47,25.5%,11.7%,-,54.4%,-,-,未分红/不适用,31.6%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值25.5%，波动11.7%，盈利能力强且稳定；近5年无亏损，经营现金流持续为正；5年营收CAGR达31.6%，增长突出。资产负债率54.4%尚可，数据质量高。,资产负债率54.4%略高，需关注偿债能力；未分红可能影响长期股东回报；行业竞争及技术迭代风险。,关注资产负债率变化、现金流与利润匹配度、行业竞争格局及研发投入。,deepseek-chat,否,规则质量评级与AI评级一致
91.2,核心优质池,规则通过；规则质量优质候选；AI可跟踪,规则质量100；ROE16.2%；ROE波动4.4%；数据质量High；AI可跟踪；PE13.88；PB3.91,-,002801,CN,微光股份,-,通用,ROE、现金流、资产负债率,13.88,3.91,16.2%,4.4%,-,16.5%,-,-,未分红/不适用,7.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值16.2%且波动较小，净利润和经营现金流近5年均为正，资产负债率仅16.5%，财务稳健。但营收增长仅7.3%，且未分红，成长性和股东回报不够突出。,营收增速较低，可能面临行业天花板或竞争压力；未分红可能影响投资者信心；缺乏自由现金流数据，需关注现金流质量。,关注营收增长能否提速；未来分红政策变化；自由现金流状况；行业竞争格局及公司市场份额。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
91.2,核心优质池,规则通过；规则质量优质候选；AI可跟踪,规则质量100；ROE17.4%；ROE波动4.7%；数据质量High；AI可跟踪；PE28.61；PB3.43,-,003025,CN,思进智能,-,通用,ROE、现金流、资产负债率,28.61,3.43,17.4%,4.7%,-,23.7%,-,-,未分红/不适用,11.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,High,10年ROE均值17.4%且波动仅4.7%，净利润波动低，近5年无亏损且经营现金流持续为正，资产负债率23.7%较低，财务质量稳健。但营收5年CAGR仅11.3%，增长不算突出，且未分红，可能处于成长期或现金流用于再投资。整体无明显硬伤，但亮点不够突出。,营收增速一般，可能面临行业竞争或市场饱和；未分红可能影响长期股东回报；缺乏商誉和利息覆盖数据，需关注潜在债务风险。,关注营收增长趋势能否加速；跟踪自由现金流情况；观察分红政策变化；关注行业竞争格局及公司市场份额变化。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE18.2%；ROE波动11.6%；数据质量High；AI优质候选；PE119.95；PB4.55,-,301328,CN,维峰电子,-,科技,营收增长、自由现金流、研发投入效率,119.95,4.55,18.2%,11.6%,-,10.9%,-,-,未分红/不适用,14.9%,8,8,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,公司连续8年盈利，近5年无亏损且经营现金流持续为正，财务质量高。ROE均值18.2%且波动可控，资产负债率仅10.9%，财务结构稳健。营收5年CAGR达14.9%，增长稳定。数据质量满分，信息可靠。,未分红可能影响部分投资者偏好；行业属性未知，需关注竞争格局；ROE波动11.6%略高，需确认盈利稳定性。,关注行业前景与竞争地位；验证ROE波动原因；跟踪未来分红政策变化；确认自由现金流趋势。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE12.6%；ROE波动3.5%；数据质量High；AI优质候选；PE120.88；PB5.79,-,688386,CN,泛亚微透,-,通用,ROE、现金流、资产负债率,120.88,5.79,12.6%,3.5%,-,49.2%,-,-,未分红/不适用,22.9%,9,9,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,Medium,公司连续9年数据，质量高；近5年无亏损且经营现金流持续为正，盈利稳定性好；5年营收CAGR达22.9%，增长强劲；ROE 12.6%且波动较小，资本回报稳健。资产负债率49.2%适中，财务风险可控。,未分红可能影响长期股东回报；自由现金流数据缺失，需关注现金流对增长的支撑；商誉和利息覆盖倍数未知，需进一步核查。,关注自由现金流趋势、分红政策变化、商誉及利息覆盖情况，以及高增长是否可持续。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE13.6%；ROE波动6.0%；数据质量High；AI优质候选；PE29.20；PB2.89,-,688722,CN,同益中,-,通用,ROE、现金流、资产负债率,29.20,2.89,13.6%,6.0%,-,24.2%,-,-,未分红/不适用,31.1%,9,9,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,公司连续9年数据质量高，ROE均值13.6%且波动仅6%，净利润和经营现金流近5年无负值，资产负债率低至24.2%，营收5年CAGR达31.1%，显示稳定增长和良好财务健康。,未分红可能影响收益型投资者；行业属性未明，需关注竞争格局；ROE波动虽低但需警惕未来增长持续性。,关注未来分红政策变化；跟踪营收增长是否可持续；分析行业地位及竞争壁垒。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量98；ROE21.7%；ROE波动8.7%；数据质量Medium；AI优质候选；PE35.92；PB2.19,-,301501,CN,恒鑫生活,-,通用,ROE、现金流、资产负债率,35.92,2.19,21.7%,8.7%,-,23.7%,-,-,未分红/不适用,26.6%,7,7,87,Medium,未知,通过,85,优质候选,98,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,数据质量为Medium，筛选结果置信度中等,优质候选,Medium,7年数据，ROE均值21.7%且波动8.7%较低，净利润波动0.58较小，近5年无亏损且经营现金流持续为正，资产负债率23.7%极低，营收5年CAGR达26.6%，显示高质量增长与财务稳健。,数据质量中等，商誉与利息覆盖倍数缺失，分红不适用可能影响股东回报评估，需关注现金流细节及行业竞争。,验证自由现金流趋势，分析高增长可持续性，检查行业地位与护城河，关注分红政策变化。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量98；ROE22.9%；ROE波动7.2%；数据质量Medium；AI优质候选；PE36.52；PB3.31,-,301552,CN,科力装备,-,通用,ROE、现金流、资产负债率,36.52,3.31,22.9%,7.2%,-,21.5%,-,-,未分红/不适用,23.3%,7,7,87,Medium,未知,通过,85,优质候选,98,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,数据质量为Medium，筛选结果置信度中等,优质候选,High,7年数据，ROE均值22.9%且波动仅7.2%，净利润波动0.52，近5年无亏损且经营现金流持续为正，资产负债率21.5%极低，营收5年CAGR达23.3%，显示高质量、高增长与强稳定性。,未分红可能影响部分投资者偏好；行业属性未知，需关注竞争格局与市场空间；数据年数7年，长期持续性待验证。,关注行业前景与公司竞争优势；跟踪未来分红政策变化；验证高ROE与增长的可持续性。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量98；ROE22.8%；ROE波动3.9%；数据质量Medium；AI优质候选；PE25.31；PB5.03,-,920160,CN,北矿检测,-,通用,ROE、现金流、资产负债率,25.31,5.03,22.8%,3.9%,-,12.5%,-,-,未分红/不适用,18.6%,6,6,75,Medium,未知,通过,85,优质候选,98,数据质量中等，质量评级需降置信度；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,数据质量为Medium，筛选结果置信度中等,优质候选,High,ROE长期22.8%且波动仅3.9%，净利润波动0.42，无亏损和负经营现金流，资产负债率12.5%极低，营收CAGR 18.6%增长稳健。财务质量、稳定性和增长均突出。,分红不适用可能影响现金流回报；数据年数仅6年，长期稳定性待验证；行业未明，需关注竞争格局。,关注分红政策变化；跟踪营收增长可持续性；验证行业地位和护城河。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
91.2,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量97；ROE13.2%；ROE波动1.6%；数据质量High；AI优质候选；PE10.72；PB1.25,-,601298,CN,青岛港,-,通用,ROE、现金流、资产负债率,10.72,1.25,13.2%,1.6%,-,24.7%,-,-,未分红/不适用,2.9%,10,10,100,High,未知,通过,100,优质候选,97,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,优质候选,High,10年ROE均值13.2%且波动仅1.6%，净利润波动0.24，近5年无亏损且经营现金流持续为正，资产负债率24.7%极低，财务质量稳定。营收CAGR 2.9%虽低但稳健，适合防御型研究。,营收增长缓慢（2.9%），可能受港口行业周期性或区域经济影响；未分红可能影响收益型投资者；缺乏FCF数据需进一步验证现金流质量。,关注未来营收增长驱动因素（如吞吐量、费率变化）；验证自由现金流趋势；了解不分红原因及资本开支计划。,deepseek-chat,否,规则质量评级与AI评级一致
91.1,核心优质池,规则通过；规则质量优质候选；AI可跟踪,规则质量100；ROE15.0%；ROE波动4.7%；数据质量High；AI可跟踪；PE15.94；PB1.53,-,601216,CN,君正集团,-,通用,ROE、现金流、资产负债率,15.94,1.53,15.0%,4.7%,-,28.6%,-,-,未分红/不适用,6.9%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,10年ROE均值15%，波动较小，净利润和经营现金流连续5年为正，资产负债率低，财务基础稳健。但营收增长一般（5年CAGR 6.9%），且未分红，成长性和股东回报不够突出。,营收增速偏低，可能缺乏成长动力；未分红可能影响投资者信心；行业属性不明确，需关注业务可持续性。,关注未来营收增长趋势、分红政策变化、行业竞争格局及资本开支计划。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
91.0,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE14.7%；ROE波动6.6%；数据质量High；AI优质候选；PE20.03；PB1.78,-,600933,CN,爱柯迪,-,通用,ROE、现金流、资产负债率,20.03,1.78,14.7%,6.6%,-,40.5%,-,-,未分红/不适用,23.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值14.7%，波动仅6.6%，盈利稳定；近5年无亏损且经营现金流持续为正，财务健康；营收5年CAGR达23.3%，增长强劲；资产负债率40.5%适中，数据质量高。,未分红可能影响收益预期；商誉占比和利息覆盖倍数缺失，需关注潜在负债风险；行业属性未明，需确认周期性。,关注分红政策变化；补充商誉和利息覆盖数据；分析行业竞争格局及增长可持续性。,deepseek-chat,否,规则质量评级与AI评级一致
91.0,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE12.5%；ROE波动4.2%；数据质量High；AI优质候选；PE39.87；PB2.28,-,601567,CN,三星电气,-,通用,ROE、现金流、资产负债率,39.87,2.28,12.5%,4.2%,-,54.3%,-,-,未分红/不适用,19.6%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值12.5%，波动仅4.2%，盈利稳定；近5年无亏损且经营现金流持续为正，财务健康；营收5年CAGR达19.6%，增长强劲。数据质量高，综合表现突出。,资产负债率54.3%略偏高，需关注偿债能力；未分红可能影响部分投资者偏好；行业竞争或政策变化可能影响增长持续性。,关注资产负债率变化及现金流覆盖利息能力；跟踪营收增长驱动因素及可持续性；观察未来分红政策是否改善。,deepseek-chat,否,规则质量评级与AI评级一致
91.0,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE12.5%；ROE波动3.4%；数据质量High；AI优质候选；PE183.78；PB10.95,-,688248,CN,南网科技,-,科技,营收增长、自由现金流、研发投入效率,183.78,10.95,12.5%,3.4%,-,35.5%,-,-,未分红/不适用,27.7%,8,8,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,公司连续8年无亏损，经营现金流持续为正，ROE稳定在12.5%且波动小，资产负债率仅35.5%，财务稳健。营收5年CAGR达27.7%，增长强劲。数据质量高，整体财务质量优秀。,未分红可能影响部分投资者偏好；行业竞争或政策变化可能影响增长持续性；自由现金流数据缺失需关注。,关注自由现金流趋势；跟踪营收增长可持续性；观察分红政策变化；监控行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
90.9,核心优质池,规则通过；规则质量优质候选；AI优质候选,规则质量100；ROE13.9%；ROE波动7.7%；数据质量High；AI优质候选；PE49.12；PB2.39,-,001215,CN,千味央厨,-,通用,ROE、现金流、资产负债率,49.12,2.39,13.9%,7.7%,-,24.0%,-,-,未分红/不适用,10.5%,9,9,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,9年数据质量高，ROE 13.9%且波动低，净利润波动小，无亏损和负经营现金流，资产负债率仅24%，营收5年CAGR 10.5%，财务稳健且增长持续。,未分红可能影响收益预期；FCF数据缺失需关注现金流质量；行业竞争或影响未来增长。,关注自由现金流趋势；分红政策变化；营收增长可持续性；行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致；数据历史未满10年，长期质量结论仍需补充更长周期验证
