股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
300566,CN,激智科技,-,科技,营收增长、自由现金流、研发投入效率,23.23,2.38,11.0%,4.9%,-,38.8%,-,-,未分红/不适用,2.5%,10,10,100,High,未知,通过,100,谨慎观察,53,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,,,,,,,未评估,暂无AI独立评估
300567,CN,精测电子,-,科技,营收增长、自由现金流、研发投入效率,321.21,13.14,13.9%,12.1%,-,55.9%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,警惕,85,谨慎观察,48,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；科技/成长公司有亏损记录，需看亏损是否收窄；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
300568,CN,星源材质,-,通用,ROE、现金流、资产负债率,198.24,2.38,12.8%,10.5%,-,59.3%,-,-,未分红/不适用,22.0%,10,10,100,High,未知,警惕,85,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,可跟踪,Medium,公司10年ROE均值12.8%，波动10.5%，盈利稳定性尚可；近5年无亏损且经营现金流持续为正，营收5年CAGR达22%，增长较快。但资产负债率59.3%偏高，且未分红，自由现金流数据缺失，需关注偿债和现金流状况。,资产负债率59.3%偏高，财务杠杆较大；未分红可能影响股东回报；自由现金流数据缺失，需验证现金流质量。,关注未来自由现金流趋势、负债率变化及分红政策；验证营收增长能否持续转化为利润和现金流。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
300569,CN,天能重工,-,通用,ROE、现金流、资产负债率,44.51,1.15,9.0%,8.2%,-,56.7%,-,-,未分红/不适用,-1.1%,10,10,100,High,未知,警惕,85,排除,15,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年出现亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300570,CN,太辰光,-,通用,ROE、现金流、资产负债率,134.00,19.93,13.3%,5.4%,-,17.1%,-,-,未分红/不适用,24.4%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值13.3%，波动仅5.4%，盈利稳定；近5年无亏损且经营现金流持续为正，财务健康；资产负债率仅17.1%，偿债风险极低；5年营收CAGR达24.4%，增长强劲。整体财务质量、稳定性和成长性均较优。,未分红可能影响部分投资者偏好；自由现金流数据缺失，需关注现金流质量；行业竞争或技术迭代可能带来不确定性。,关注自由现金流趋势及资本开支情况；跟踪营收增长可持续性；观察行业景气度变化。,deepseek-chat,否,规则质量评级与AI评级一致
300571,CN,平治信息,-,通用,ROE、现金流、资产负债率,456.52,7.22,18.1%,20.5%,-,72.5%,-,-,未分红/不适用,-27.3%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；资产负债率偏高；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
300572,CN,安车检测,-,通用,ROE、现金流、资产负债率,-377.47,4.86,12.8%,20.8%,-,30.5%,-,-,未分红/不适用,-1.9%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300573,CN,兴齐眼药,-,通用,ROE、现金流、资产负债率,19.44,8.28,15.8%,10.4%,-,22.1%,-,-,未分红/不适用,24.5%,10,10,100,High,未知,警惕,85,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,优质候选,High,10年ROE均值15.8%，近5年营收CAGR达24.5%，增长强劲；无亏损及OCF为负记录，财务稳健；资产负债率仅22.1%，偿债风险低。,ROE波动10.4%偏高，净利润波动1.08，盈利稳定性需关注；未分红，可能影响部分投资者偏好。,关注ROE波动原因及净利润稳定性；跟踪营收增长可持续性；观察未来分红政策变化。,deepseek-chat,否,规则与AI均认可质量，排雷侧因单项风险给出需关注状态，适合进入人工复核清单
300575,CN,中旗股份,-,通用,ROE、现金流、资产负债率,1206.94,1.67,16.5%,16.0%,-,57.5%,-,-,未分红/不适用,5.1%,10,10,100,High,未知,警惕,70,可跟踪,68,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300576,CN,容大感光,-,通用,ROE、现金流、资产负债率,152.35,9.40,9.4%,2.4%,-,17.7%,-,-,未分红/不适用,8.0%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300577,CN,开润股份,-,通用,ROE、现金流、资产负债率,11.81,2.13,18.1%,11.6%,-,61.3%,-,-,未分红/不适用,20.9%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值18.1%，波动11.6%尚可；近5年无亏损且经营现金流持续为正；营收5年CAGR达20.9%，增长强劲。资产负债率61.3%略高但未超警戒线。整体财务质量、稳定性和增长均较优。,资产负债率61.3%偏高，需关注偿债能力；未分红可能影响部分投资者偏好；商誉和利息覆盖倍数数据缺失，需进一步核实。,关注资产负债率变化及现金流覆盖利息能力；核实商誉规模及减值风险；跟踪营收增长可持续性及利润率趋势。,deepseek-chat,否,规则质量评级与AI评级一致
300578,CN,会畅科技,-,科技,营收增长、自由现金流、研发投入效率,-87.96,3.65,0.8%,16.4%,-,12.9%,-,-,未分红/不适用,-9.3%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300579,CN,数字认证,-,通用,ROE、现金流、资产负债率,-169.42,9.00,9.8%,11.2%,-,46.6%,-,-,未分红/不适用,-4.9%,10,10,100,High,未知,警惕,85,排除,24,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300580,CN,贝斯特,-,通用,ROE、现金流、资产负债率,45.79,3.98,11.6%,2.5%,-,16.3%,-,-,未分红/不适用,9.2%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300581,CN,晨曦航空,-,通用,ROE、现金流、资产负债率,-159.18,7.41,11.6%,18.0%,-,18.9%,-,-,未分红/不适用,-12.7%,10,10,100,High,未知,警惕,55,排除,0,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300582,CN,英飞特,-,通用,ROE、现金流、资产负债率,161.51,6.17,8.7%,25.7%,-,72.6%,-,-,未分红/不适用,13.0%,10,10,100,High,未知,警惕,55,排除,18,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
300583,CN,赛托生物,-,通用,ROE、现金流、资产负债率,193.55,1.59,2.3%,7.9%,-,39.2%,-,-,未分红/不适用,-4.1%,10,10,100,High,未知,排除,5,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
300584,CN,海辰药业,-,通用,ROE、现金流、资产负债率,65.97,4.28,12.1%,9.9%,-,28.2%,-,-,未分红/不适用,3.8%,10,10,100,High,未知,警惕,85,可跟踪,83,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300585,CN,奥联电子,-,科技,营收增长、自由现金流、研发投入效率,-174.79,6.26,12.8%,22.9%,-,28.0%,-,-,未分红/不适用,0.9%,10,10,100,High,未知,警惕,70,排除,35,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300586,CN,美联新材,-,通用,ROE、现金流、资产负债率,1464.08,4.52,8.7%,7.2%,-,40.8%,-,-,未分红/不适用,-3.0%,10,10,100,High,未知,警惕,85,排除,44,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300587,CN,天铁科技,-,科技,营收增长、自由现金流、研发投入效率,101.22,3.27,12.4%,22.3%,-,63.7%,-,-,未分红/不适用,-2.0%,10,10,100,High,未知,警惕,55,排除,2,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,科技公司营收增长转负；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300588,CN,熙菱信息,-,通用,ROE、现金流、资产负债率,-46.24,15.58,-7.8%,19.8%,-,54.3%,-,-,未分红/不适用,11.5%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
300589,CN,江龙船艇,-,通用,ROE、现金流、资产负债率,441.84,8.14,7.3%,11.2%,-,65.6%,-,-,未分红/不适用,0.4%,10,10,100,High,未知,警惕,70,排除,26,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长处于可接受区间,10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
300590,CN,移为通信,-,科技,营收增长、自由现金流、研发投入效率,33.65,3.78,15.7%,15.1%,-,15.5%,-,-,未分红/不适用,-0.8%,10,10,100,High,未知,警惕,70,谨慎观察,53,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,科技公司营收增长转负；10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
300591,CN,万里马,-,通用,ROE、现金流、资产负债率,289.45,19.08,-18.2%,26.4%,-,68.5%,-,-,未分红/不适用,11.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
300592,CN,华凯易佰,-,通用,ROE、现金流、资产负债率,18.69,2.23,4.7%,9.1%,-,39.7%,-,-,未分红/不适用,44.8%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
300593,CN,新雷能,-,通用,ROE、现金流、资产负债率,-101.24,7.60,7.8%,13.5%,-,41.7%,-,-,未分红/不适用,-5.3%,10,10,100,High,未知,警惕,55,排除,0,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300595,CN,欧普康视,-,通用,ROE、现金流、资产负债率,19.84,2.35,23.0%,8.5%,-,13.6%,-,-,未分红/不适用,9.5%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值23.0%，盈利能力强且稳定；净利润波动低（0.49），近5年无亏损且经营现金流持续为正；资产负债率仅13.6%，财务风险极低。营收5年CAGR 9.5%，增长稳健。整体财务质量优秀，值得优先研究。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在并购风险；营收增速略低于ROE，需验证增长可持续性。,关注营收增长趋势及驱动因素；核查商誉及无形资产明细；跟踪现金流与利润匹配度；了解不分红政策是否长期持续。,deepseek-chat,否,规则质量评级与AI评级一致
300596,CN,利安隆,-,通用,ROE、现金流、资产负债率,20.09,2.14,15.2%,4.0%,-,52.6%,-,-,未分红/不适用,15.0%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值15.2%且波动仅4%，净利润波动系数0.47，近5年无亏损且经营现金流持续为正，显示盈利稳定性和现金流健康。营收5年CAGR 15%，增长稳健。资产负债率52.6%适中，财务风险可控。,未分红可能影响部分投资者偏好；商誉和利息覆盖倍数数据缺失，需关注潜在负债或并购风险；行业竞争及宏观经济波动可能影响增长持续性。,关注未来分红政策变化；补充商誉及利息覆盖数据；跟踪营收增长趋势及现金流质量；观察行业景气度及竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
300597,CN,吉大通信,-,科技,营收增长、自由现金流、研发投入效率,-130.67,2.93,11.6%,17.0%,-,39.2%,-,-,未分红/不适用,-2.1%,10,10,100,High,未知,警惕,55,排除,4,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,科技公司营收增长转负；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300598,CN,诚迈科技,-,科技,营收增长、自由现金流、研发投入效率,-62.34,6.03,5.9%,13.8%,-,48.6%,-,-,未分红/不适用,11.7%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300599,CN,雄塑科技,-,科技,营收增长、自由现金流、研发投入效率,32.28,2.17,9.5%,13.9%,-,13.2%,-,-,未分红/不适用,-21.2%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
300600,CN,国瑞科技,-,科技,营收增长、自由现金流、研发投入效率,-208.82,2.92,1.5%,13.4%,-,16.6%,-,-,未分红/不适用,5.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
300601,CN,康泰生物,-,通用,ROE、现金流、资产负债率,117.01,1.70,20.2%,21.1%,-,31.7%,-,-,未分红/不适用,-7.5%,10,10,100,High,未知,警惕,55,谨慎观察,52,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300602,CN,飞荣达,-,通用,ROE、现金流、资产负债率,74.92,5.59,11.1%,8.4%,-,55.4%,-,-,未分红/不适用,20.9%,10,10,100,High,未知,通过,100,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300603,CN,立昂技术,-,通用,ROE、现金流、资产负债率,-44.23,4.31,-4.1%,33.9%,-,39.1%,-,-,未分红/不适用,-6.8%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300604,CN,长川科技,-,科技,营收增长、自由现金流、研发投入效率,103.46,28.64,14.1%,9.7%,-,51.0%,-,-,未分红/不适用,36.8%,10,10,100,High,未知,警惕,85,可跟踪,67,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；净利润波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率略高但未构成硬伤；营收增长达到行业较好水平,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300605,CN,恒锋信息,-,通用,ROE、现金流、资产负债率,-37.58,4.75,6.0%,9.9%,-,65.0%,-,-,未分红/不适用,-8.1%,10,10,100,High,未知,警惕,70,排除,0,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300606,CN,金太阳,-,通用,ROE、现金流、资产负债率,150.93,8.41,9.5%,6.2%,-,44.5%,-,-,未分红/不适用,5.1%,10,10,100,High,未知,通过,100,谨慎观察,48,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300607,CN,拓斯达,-,通用,ROE、现金流、资产负债率,82.63,5.45,11.7%,12.2%,-,51.9%,-,-,未分红/不适用,-6.6%,10,10,100,High,未知,警惕,55,排除,10,数据质量高；长期ROE达到行业基本线；ROE波动偏大；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300608,CN,思特奇,-,通用,ROE、现金流、资产负债率,-21.92,4.40,5.5%,8.7%,-,38.3%,-,-,未分红/不适用,-9.1%,10,10,100,High,未知,警惕,70,排除,6,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300609,CN,汇纳科技,-,科技,营收增长、自由现金流、研发投入效率,-60.45,5.33,-3.5%,29.2%,-,24.4%,-,-,未分红/不适用,-5.7%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,科技公司营收增长转负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300610,CN,晨化股份,-,通用,ROE、现金流、资产负债率,24.56,2.15,11.3%,3.9%,-,26.0%,-,-,未分红/不适用,-7.5%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300611,CN,美力科技,-,科技,营收增长、自由现金流、研发投入效率,83.26,4.48,5.9%,5.4%,-,49.1%,-,-,未分红/不适用,25.3%,10,10,100,High,未知,警惕,70,谨慎观察,61,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；科技/成长公司有亏损记录，需看亏损是否收窄；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
300612,CN,宣亚国际,-,通用,ROE、现金流、资产负债率,-34.16,6.29,2.4%,18.1%,-,29.4%,-,-,未分红/不适用,-21.4%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
300613,CN,富瀚微,-,通用,ROE、现金流、资产负债率,43.00,5.02,15.4%,14.4%,-,25.3%,-,-,未分红/不适用,-0.4%,10,10,100,High,未知,警惕,85,谨慎观察,53,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
300614,CN,百川畅银,-,通用,ROE、现金流、资产负债率,-26.08,2.93,1.1%,17.0%,-,49.8%,-,-,未分红/不适用,-5.8%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300615,CN,欣天科技,-,科技,营收增长、自由现金流、研发投入效率,-22.08,6.43,6.3%,9.7%,-,45.3%,-,-,未分红/不适用,14.4%,10,10,100,High,未知,警惕,85,谨慎观察,51,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300616,CN,尚品宅配,-,通用,ROE、现金流、资产负债率,-10.37,1.40,7.9%,13.4%,-,57.1%,-,-,未分红/不适用,-16.5%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
300617,CN,安靠智电,-,通用,ROE、现金流、资产负债率,53.38,3.45,9.8%,5.1%,-,25.7%,-,-,未分红/不适用,0.7%,10,10,100,High,未知,通过,100,可跟踪,83,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,-,,,,,,,未评估,暂无AI独立评估
300618,CN,寒锐钴业,-,通用,ROE、现金流、资产负债率,49.24,2.30,24.1%,25.9%,-,43.5%,-,-,未分红/不适用,11.4%,10,10,100,High,未知,警惕,85,可跟踪,69,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
300619,CN,金银河,-,通用,ROE、现金流、资产负债率,-143.99,5.28,7.7%,7.6%,-,63.1%,-,-,未分红/不适用,13.8%,10,10,100,High,未知,警惕,85,排除,40,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；近5年出现亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300620,CN,光库科技,-,科技,营收增长、自由现金流、研发投入效率,369.90,30.72,11.1%,7.4%,-,40.4%,-,-,未分红/不适用,21.9%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300621,CN,维业股份,-,通用,ROE、现金流、资产负债率,-9.91,3.37,15.3%,37.9%,-,96.1%,-,-,未分红/不适用,-3.5%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；资产负债率过高,,,,,,,未评估,暂无AI独立评估
300622,CN,博士眼镜,-,通用,ROE、现金流、资产负债率,38.97,6.57,14.1%,2.6%,-,32.0%,-,-,未分红/不适用,11.3%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,High,公司连续10年盈利，ROE稳定在14%左右，波动小；无亏损和OCF为负记录，财务稳健；资产负债率32%较低；营收5年CAGR 11.3%增长平稳。但未分红且FCF数据缺失，成长性一般。,未分红可能影响股东回报；FCF数据缺失，现金流质量待验证；行业竞争激烈，增长持续性需关注。,关注未来分红政策变化；获取FCF数据评估现金流；跟踪营收增长趋势及行业竞争格局。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
300623,CN,捷捷微电,-,通用,ROE、现金流、资产负债率,72.72,4.75,13.2%,5.5%,-,27.0%,-,-,未分红/不适用,18.5%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,可跟踪,Medium,公司连续10年盈利，无亏损和负经营现金流记录，ROE均值13.2%且波动较小，资产负债率仅27%，财务稳健。营收5年CAGR达18.5%，增长良好。但未分红且自由现金流数据缺失，需关注现金流质量。,未分红可能表明现金流不充裕或公司处于扩张期；自由现金流数据缺失，无法评估实际现金创造能力；行业竞争及技术迭代风险。,关注自由现金流趋势、分红政策变化、营收增长可持续性及行业景气度。,deepseek-chat,轻微,规则和AI评级不完全一致，可作为人工复核优先项
